,a_id,user_id,repository_pair_id,synergy,direction,explanation,synergy_map,synergy_abstract,repo_description1,repo_description2,score,username,batch
8,38,8,28,1,0,,-1,0,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across distributed clusters such as Apache Spark, Kubernetes and others.",Non-blocking Celery client for Tornado,0.0,syed,1.0
13,170,13,36,1,0,"project 1 benchmarks elasticsearch and project 2 adds a slack interface to python
project 1 is deprecated and unknown to work
they could be combined into a new project, but not by using only these 2 projects",-1,0,Elasticsearch benchmarking tools,Full-featured Python interface for the Slack API,0.0,schwabe_2,2.0
15,48,15,36,1,0,,-1,0,Elasticsearch benchmarking tools,Full-featured Python interface for the Slack API,0.0,syed_2,2.0
11,284,11,36,1,0,Both repos are not related in any aspects. First repo talks about some benchamarking tools and other repo is for slack API. So there is no synergy,-1,0,Elasticsearch benchmarking tools,Full-featured Python interface for the Slack API,0.0,sasikumar,2.0
11,285,11,37,1,0,There is no relation between both the repositories because the first repo explains about downloading stuff and the other repo discuss about Graph RNN,-1,0,Persepolis Download Manager is a GUI for aria2.,GraphRNN: A Deep Generative Model for Graphs,0.0,sasikumar,2.0
15,49,15,37,1,0,,-1,0,Persepolis Download Manager is a GUI for aria2.,GraphRNN: A Deep Generative Model for Graphs,0.0,syed_2,2.0
13,171,13,37,1,0,download tool vs. graph generating model,-1,0,Persepolis Download Manager is a GUI for aria2.,GraphRNN: A Deep Generative Model for Graphs,0.0,schwabe_2,2.0
15,55,15,41,1,0,,-1,0,A socket.io bridge for Python,A Plug-In for Sublime Text 2 / 3 To Render Diagrams In Your Source Code,0.0,syed_2,2.0
11,289,11,41,1,0,There is no synergy between the 2 repositories as they are not related to each other because the first repo is a socket library and another repo is a rendering tool for diagram. So synergy is not found between them at any perspective. ,-1,0,A socket.io bridge for Python,A Plug-In for Sublime Text 2 / 3 To Render Diagrams In Your Source Code,0.0,sasikumar,2.0
13,175,13,41,1,0,bidirectional communication browser server vs. sublime plugin for visualization,-1,0,A socket.io bridge for Python,A Plug-In for Sublime Text 2 / 3 To Render Diagrams In Your Source Code,0.0,schwabe_2,2.0
15,56,15,42,1,0,,-1,0,"Python library for class-based schema definition, object serialization and data validation",Tensorflow Implementation of Recurrent Convolutional Neural Network for Relation Extraction,0.0,syed_2,2.0
11,290,11,42,2,21,"There is some synergy between two repositories but they arent very closely related with each other. Since Pyschema can be used for data, it will be benefitted for processing NLP data used in repo 2.  ",0,1,"Python library for class-based schema definition, object serialization and data validation",Tensorflow Implementation of Recurrent Convolutional Neural Network for Relation Extraction,0.0,sasikumar,2.0
13,176,13,42,1,0,schema definition for constraint checking vs. neural network for relation extraction,-1,0,"Python library for class-based schema definition, object serialization and data validation",Tensorflow Implementation of Recurrent Convolutional Neural Network for Relation Extraction,0.0,schwabe_2,2.0
15,59,15,45,1,0,,-1,0,Scrapy YouTube watch history spider. Because YouTube doesn't have a history search.,Django ORM Sugar library to simplify ORM querying,0.0,syed_2,2.0
13,179,13,45,1,0,scraper vs. better readable django orm,-1,0,Scrapy YouTube watch history spider. Because YouTube doesn't have a history search.,Django ORM Sugar library to simplify ORM querying,0.0,schwabe_2,2.0
11,293,11,45,4,2,The first repository talks about Scrapy which is a data extraction library and other repository talks about Django querying. So both can be combined to develop some efficient tool for web scraping. So there is a strong synergy between them. ,2,2,Scrapy YouTube watch history spider. Because YouTube doesn't have a history search.,Django ORM Sugar library to simplify ORM querying,0.0,sasikumar,2.0
13,181,13,47,1,0,neural network vs. web development async database query,-1,0,"Python modules for GQ-CNN training and deployment, with ROS integration",An asynchronous library for accessing mongo with tornado.ioloop,0.0,schwabe_2,2.0
15,61,15,47,1,0,,-1,0,"Python modules for GQ-CNN training and deployment, with ROS integration",An asynchronous library for accessing mongo with tornado.ioloop,0.0,syed_2,2.0
11,295,11,47,2,12,"Repository 2 handles mongo databases and the data from the databases can be used in the neural networks that were mentioned in repository 1. Since not all features are clear, there are chances for weak synergy between them. ",0,1,"Python modules for GQ-CNN training and deployment, with ROS integration",An asynchronous library for accessing mongo with tornado.ioloop,0.0,sasikumar,2.0
11,297,11,49,2,2,"It is really unclear to prove that there exists strong synergy but it can be given that it has little amount of synergy between them as the first repo discusses about hosting python or other web apps, so the neural networks deployed in python can also be hosted, but it is pretty unclear.",0,1,Deploy multiple Flask/Django (or PHP/HTML) applications on a single server ,Countering Adversarial Image using Input Transformations.,0.0,sasikumar,2.0
13,183,13,49,1,0,,-1,0,Deploy multiple Flask/Django (or PHP/HTML) applications on a single server ,Countering Adversarial Image using Input Transformations.,0.0,schwabe_2,2.0
15,63,15,49,1,0,,-1,0,Deploy multiple Flask/Django (or PHP/HTML) applications on a single server ,Countering Adversarial Image using Input Transformations.,0.0,syed_2,2.0
15,65,15,51,1,0,,-1,0,"Business Intelligence (BI) in Python, OLAP",USD Manager,0.0,syed_2,2.0
13,185,13,51,1,0,business intelligence vs film creation ,-1,0,"Business Intelligence (BI) in Python, OLAP",USD Manager,0.0,schwabe_2,2.0
11,301,11,51,2,2,There can weak synergy as both deals with data but it is unclear. An optimal selection cannot be made.,0,1,"Business Intelligence (BI) in Python, OLAP",USD Manager,0.0,sasikumar,2.0
11,303,11,53,2,21,There is a small synergy between both the repositories. The first repo explains about the installation of GNU/Linux systems whereas the second repo discusses about NLP toolkit that is GNU/Linux based. So this toolkit can be configured in the Linux systems configured using linux-salted mentioned in the first repo. ,0,1,linux-salted,Underthesea - Vietnamese NLP Toolkit,0.0,sasikumar,2.0
13,187,13,53,1,0,custom linux configuration vs. vietnamese nlp toolkit,-1,0,linux-salted,Underthesea - Vietnamese NLP Toolkit,0.0,schwabe_2,2.0
15,67,15,53,1,0,,-1,0,linux-salted,Underthesea - Vietnamese NLP Toolkit,0.0,syed_2,2.0
15,70,15,56,1,0,,-1,0,vscode-lldb,Build transformations in blender that refer to some geometry in your scene,0.0,syed_2,2.0
13,190,13,56,1,0,vscode c++ debuger vs. align blender objects easy,-1,0,vscode-lldb,Build transformations in blender that refer to some geometry in your scene,0.0,schwabe_2,2.0
11,306,11,56,1,0,There seems to no synergy between the repositories as the information given is very abstract. ,-1,0,vscode-lldb,Build transformations in blender that refer to some geometry in your scene,0.0,sasikumar,2.0
20,106,20,62,4,2,A combination of this projects can produce a fully fletched analyzing tool to detect possible vulnerabilities of computer systems.,2,2,Analysis Suite For EAP Enabled Wireless Networks,A forensic evidence collection & analysis toolkit for OS X,0.0,das,3.0
19,47,19,62,3,21,"You can extend the OSXCollector with  EAPEAK.  An extended OSXCollector, would be able to analyze the wireless network and can give a reason why the computer would be infected e.g by an insecure wireless network.",1,2,Analysis Suite For EAP Enabled Wireless Networks,A forensic evidence collection & analysis toolkit for OS X,0.0,krieger_3,3.0
16,76,16,62,3,21,"If a Mac is configured to use EAP wireless network, then may be Repo 2 can include Repo 1 to get more evidence/ probabilities of any malware through WLAN",1,2,Analysis Suite For EAP Enabled Wireless Networks,A forensic evidence collection & analysis toolkit for OS X,0.0,syed_3,3.0
20,107,20,63,1,0,Readme of Repository 2 is too poorly maintained to get any information regarding synergy from this files.,-1,0,Software to automate the management and configuration of any infrastructure or application at scale. Get access to the Salt Open software package repository here: ,Pytorch implementation of Feature Pyramid Network (FPN) for Object Detection,0.0,das,3.0
19,50,19,63,1,0,"SaltStack is a system to manged and configures server farms. Feature pyramid network is a feature extractor designed for such a pyramid concept with accuracy and speed in mind, it's a neuronal network concept.",-1,0,Software to automate the management and configuration of any infrastructure or application at scale. Get access to the Salt Open software package repository here: ,Pytorch implementation of Feature Pyramid Network (FPN) for Object Detection,0.0,krieger_3,3.0
16,77,16,63,1,0,,-1,0,Software to automate the management and configuration of any infrastructure or application at scale. Get access to the Salt Open software package repository here: ,Pytorch implementation of Feature Pyramid Network (FPN) for Object Detection,0.0,syed_3,3.0
16,82,16,68,1,0,,-1,0,Pretty HTML/XML rendering with syntax highlighting for BeautifulSoup objects in IPython notebook and qtconsole.,Python report uploader for Codecov,0.0,syed_3,3.0
20,112,20,68,1,0,Totally different.,-1,0,Pretty HTML/XML rendering with syntax highlighting for BeautifulSoup objects in IPython notebook and qtconsole.,Python report uploader for Codecov,0.0,das,3.0
19,228,19,68,1,0,"Codecov Global Python Uploader combines your repository, is a nice tool BeautifulSoup to work with HTML/XML",-1,0,Pretty HTML/XML rendering with syntax highlighting for BeautifulSoup objects in IPython notebook and qtconsole.,Python report uploader for Codecov,0.0,krieger_3,3.0
19,233,19,73,1,0,Flask handles and scales large background processes and LinkedIn Jobs Scaper looks for jobs on your account. But LinkedIn Jobs Scaper is not a tool to handle big data on background processes.,-1,0,"Example of how to handle background processes with Flask, Redis Queue, and Docker",linkedin-jobs-scraper,0.0,krieger_3,3.0
16,87,16,73,1,0,,-1,0,"Example of how to handle background processes with Flask, Redis Queue, and Docker",linkedin-jobs-scraper,0.0,syed_3,3.0
20,117,20,73,1,0,,-1,0,"Example of how to handle background processes with Flask, Redis Queue, and Docker",linkedin-jobs-scraper,0.0,das,3.0
19,234,19,74,3,12,"If there some configurations in Java, Javalang could be a good choice to check java code with python",1,2,hammer,Pure Python Java parser and tools,0.0,krieger_3,3.0
20,118,20,74,1,0,,-1,0,hammer,Pure Python Java parser and tools,0.0,das,3.0
16,88,16,74,1,0,,-1,0,hammer,Pure Python Java parser and tools,0.0,syed_3,3.0
19,235,19,75,1,0,"BioStar Central ist a web-based tool to produce better software with an installation process and minimal dependencies, and PACK is just a script to crack passwords.",-1,0,Biostar Q&A,PACK (Password Analysis and Cracking Kit),0.0,krieger_3,3.0
20,119,20,75,1,0,,-1,0,Biostar Q&A,PACK (Password Analysis and Cracking Kit),0.0,das,3.0
16,89,16,75,1,0,,-1,0,Biostar Q&A,PACK (Password Analysis and Cracking Kit),0.0,syed_3,3.0
19,246,19,81,1,0,TPMS monitors automotive tire pressure and panic_bcast  is a network security feature which prevents a cold-boot attack,-1,0,Decentralized opsec panic button operating over UDP broadcasts and HTTP. Provides automatic ejection of encrypted drives as a safe-measure against cold-boot attacks.,Tire Pressure Monitoring System decoding tools.,0.0,krieger_3,3.0
20,125,20,81,1,0,,-1,0,Decentralized opsec panic button operating over UDP broadcasts and HTTP. Provides automatic ejection of encrypted drives as a safe-measure against cold-boot attacks.,Tire Pressure Monitoring System decoding tools.,0.0,das,3.0
16,95,16,81,4,21,Repo 2 can benefit by including the panic button protocol from Repo 1 to prevent attacks on tire pressure monitoring systems.,2,2,Decentralized opsec panic button operating over UDP broadcasts and HTTP. Provides automatic ejection of encrypted drives as a safe-measure against cold-boot attacks.,Tire Pressure Monitoring System decoding tools.,0.0,syed_3,3.0
20,126,20,82,3,12,Use Repository 2 as a connector to store data in MongoDB,1,2,seq2seq-summarizer,Flask-based ActivityPub api-focused app,0.0,das,3.0
16,96,16,82,1,0,,-1,0,seq2seq-summarizer,Flask-based ActivityPub api-focused app,0.0,syed_3,3.0
19,253,19,82,1,0,i see no synergy between Repository 1 and Repository 2. ,-1,0,seq2seq-summarizer,Flask-based ActivityPub api-focused app,0.0,krieger_3,3.0
20,127,20,83,3,12,Use the high performance techniques for scanned documents in higher quality,1,2,"Scan, index, and archive all of your paper documents",????????Several High-Performance Models for Unconstrained/Large-Scale/Low-Shot Face Recognition????????,0.0,das,3.0
19,254,19,83,3,12,"So Paperless is a monitoring tool for scanned paper. My first thought was, okay is there a synergy? And, yes I have an Idea.
Every Document can be classified as e.g. bill, whitepaper, or just as a letter. But all of these documents have a structure and you know, without reading, this paper is a bill or a letter. So what if we use the logic from Face Recognition, depending on the used algorithm, eg. PCA to reduce the paper to his representative principal component. And classify the scanned paper in its Classification. Now the paperless would be able to know what for a paper was scanned and sort it.",1,2,"Scan, index, and archive all of your paper documents",????????Several High-Performance Models for Unconstrained/Large-Scale/Low-Shot Face Recognition????????,0.0,krieger_3,3.0
16,97,16,83,1,0,,-1,0,"Scan, index, and archive all of your paper documents",????????Several High-Performance Models for Unconstrained/Large-Scale/Low-Shot Face Recognition????????,0.0,syed_3,3.0
16,98,16,84,1,0,,-1,0,Fuzzing and Data Manipulation Framework (for GNU/Linux),Simple Django website navigation system,0.0,syed_3,3.0
19,255,19,84,1,0,django-menu creates navigation menus for websites. fuddly is a framework for modeling and plot data.,-1,0,Fuzzing and Data Manipulation Framework (for GNU/Linux),Simple Django website navigation system,0.0,krieger_3,3.0
20,128,20,84,1,0,,-1,0,Fuzzing and Data Manipulation Framework (for GNU/Linux),Simple Django website navigation system,0.0,das,3.0
